,date,open,high,low,close,adj_close,volume,stock
187,1962-10-18,4.87256383895874,4.87256383895874,4.790573596954346,4.813999176025391,1.1288881301879883,36200,ARNC
188,1962-01-31,5.76556304522923,1.3046875,1.2890625,1.29296875,0.01227102056145668,422400,PG
189,1962-01-24,0.7111378312110901,0.7274138331413269,0.7086338400840759,0.7249098420143127,0.0017249881057068706,1597400,GE
190,1962-01-29,5.76556304522923,1.62109375,1.59375,1.6171875,0.014257744885981083,1462400,XOM
191,1962-04-12,0.790123462677002,0.790123462677002,0.7674897313117981,0.7716049551963806,0.13788336515426636,364400,BA
192,1962-08-09,5.5284857749938965,5.5753374099731445,5.5284857749938965,5.563624382019043,1.2982196807861328,28400,ARNC
193,1962-08-09,5.76556304522923,231.875,230.0,231.25,105.78670501708984,400,NAV
194,1962-05-17,5.76556304522923,9.65625,9.515625,9.5625,0.21893088519573212,18400,ED
195,1962-04-25,5.76556304522923,0.21643517911434174,0.21469907462596893,0.21469907462596893,6.051692480468773e-07,388800,JNJ
196,1962-02-16,5.76556304522923,0.23495370149612427,0.23321759700775146,0.23379629850387573,6.589987719962664e-07,172800,JNJ
197,1962-02-09,5.76556304522923,1.287109375,1.275390625,1.275390625,0.012104194611310959,396800,PG
198,1962-09-07,5.76556304522923,7.28125,7.1875,7.25,1.2861478328704834,33200,GT
199,1962-09-05,5.76556304522923,0.16377314925193787,0.16203702986240387,0.16203702986240387,4.5962630679241556e-07,388800,JNJ
200,1962-09-18,5.923395156860352,5.939414978027344,5.755185127258301,5.755185127258301,1.3748784065246582,40500,AA
201,1962-09-04,5.76556304522923,234.375,232.5,232.5,106.35852813720703,300,NAV
202,1962-09-14,1.453125,1.4583333730697632,1.40625,1.40625,0.1225220113992691,144000,CAT
203,1962-09-06,5.76556304522923,5.625,5.541666507720947,5.5625,0.7362185120582581,32400,FL
204,1962-10-04,5.76556304522923,1.62109375,1.60546875,1.62109375,0.014781298115849495,563200,XOM
205,1962-01-24,1.7083333730697632,1.7083333730697632,1.6666666269302368,1.6979166269302368,0.14584825932979584,120000,CAT
206,1962-12-31,5.76556304522923,0.1284722238779068,0.1267361044883728,0.1273871511220932,0.0001634533837204799,1440000,MO
207,1962-10-02,5.76556304522923,28.875,28.625,28.75,0.49389180541038513,1600,DTE
208,1962-10-16,5.76556304522923,1.0,0.990234375,0.9921875,0.00956808216869831,294400,PG
209,1962-07-25,5.76556304522923,9.171875,9.0625,9.171875,0.209987610578537,12800,ED
